address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
Жуковского 102,43.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.0619,82.891297,157.0,Танцуки,4.0,1487499618.0
Верхний ,6.0,99.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.04157,82.934075,158.0,Красная площадь,4.0,1486620121.0
Ленинградский просп. 31,763.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.785994,37.559056,159.0,Arena Moscow,4.0,1484762691.0
выборгская 14,3.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.752242,37.633167,160.0,Лед,4.0,1354388918.0
Комендантский просп. 271,10.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,60.018425,30.24845,161.0,Take Five,4.0,1466759190.0
Забелина 1,3.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.754466,37.637367,162.0,Подвал на Солянке,4.0,1456810987.0
Петрозаводская 22,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.77716,37.565003,163.0,Times,4.0,1351286838.0
Липецкая 10,2.0,133.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,43.605614,39.715731,164.0,Agava,4.0,1435967164.0
Красных Партизан 204,1.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.049666,38.964848,165.0,Chicago,4.0,1415469012.0
Шпалерная 24,0.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.94946,30.350902,166.0,Пегас,4.0,1342913520.0
наб. канала Грибоедова 7,3.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.938982,30.327381,167.0,Бархат,4.0,1347703068.0
Тушинская ,9.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.190994,37.612757,168.0,Комплекс «Карамболь»,4.0,1455323799.0
Щукинская ,0.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.18846,37.681146,169.0,Петушки,4.0,
Д Ульянова 23,2.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.191747,37.584496,170.0,Бавария,4.0,1395998806.0
Ломоносовский пр. 5,7.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.511823,37.0514,171.0,Summer Club,4.0,1470776262.0
просп. Ленина 82,4.0,87.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,68.971302,33.077546,172.0,The Centre,4.0,1393937860.0
Ф.Энгельса 66,4.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.176525,37.594081,173.0,Чили,4.0,1391970598.0
Петроградская наб. ,6.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.957185,30.335727,174.0,Забава-бар,4.0,1485665377.0
Садовая 11,0.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.935412,30.334948,175.0,Seven Rooms,4.0,1407974721.0
